Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/04/10 15:26:24,996.52,39.12,24.65,24.25,4.57,484.38, 8.67,5.51,65,14080,966,1273.65,0.01,0.01,22.15,
2023/04/10 15:26:30,995.81,39.01,24.66,24.25,4.57,453.13, 8.84,5.51,65,14080,965,1271.81,0.01,0.01,22.12,
2023/04/10 15:26:36,995.29,38.92,24.68,24.25,4.57,468.75, 9.10,5.51,65,14080,966,1273.65,0.01,0.01,22.09,
2023/04/10 15:26:42,994.77,38.84,24.68,24.50,4.57,468.75, 8.59,5.29,64,13312,966,1271.81,0.01,0.01,22.06,
2023/04/10 15:26:48,994.38,38.77,24.68,24.25,4.57,468.75, 8.60,5.51,66,14080,967,1271.81,0.01,0.01,22.03,
2023/04/10 15:26:54,993.92,38.70,24.68,24.25,4.57,453.13, 8.63,5.49,65,14080,965,1271.81,0.01,0.01,22.00,
2023/04/10 15:27:00,993.60,38.64,24.68,24.25,4.57,453.13, 9.06,5.51,66,14080,966,1273.65,0.01,0.01,21.97,
2023/04/10 15:27:06,993.29,38.58,24.67,24.25,4.56,453.13, 8.81,5.51,66,14080,965,1271.81,0.01,0.01,21.93,
2023/04/10 15:27:12,993.00,38.54,24.67,24.25,4.57,437.50, 8.66,5.34,65,14080,967,1269.96,0.01,0.01,21.90,
2023/04/10 15:27:18,992.76,38.50,24.66,24.25,4.57,437.50, 8.85,5.51,65,14080,966,1271.81,0.01,0.01,21.86,
2023/04/10 15:27:24,992.59,38.44,24.65,24.25,4.57,437.50, 9.06,5.73,65,14080,966,1271.81,0.01,0.01,21.82,
2023/04/10 15:27:30,992.48,38.41,24.64,24.25,4.57,421.88, 8.85,5.75,66,14080,964,1273.65,0.01,0.01,21.78,
2023/04/10 15:27:36,992.30,38.37,24.63,24.25,4.57,421.88, 8.88,5.49,65,13824,965,1269.96,0.01,0.01,21.75,
2023/04/10 15:27:42,992.20,38.33,24.62,24.25,4.56,437.50, 8.81,5.53,65,14080,965,1271.81,0.01,0.01,21.71,
2023/04/10 15:27:48,992.06,38.30,24.60,24.25,4.57,421.88, 8.63,5.51,65,14080,963,1273.65,0.01,0.01,21.67,
2023/04/10 15:27:54,992.01,38.28,24.59,24.25,4.57,421.88, 8.85,5.30,65,14080,963,1273.65,0.01,0.01,21.63,
2023/04/10 15:28:00,991.94,38.25,24.58,24.25,4.57,406.25, 8.88,5.51,66,14080,964,1268.12,0.01,0.01,21.59,
2023/04/10 15:28:06,991.88,38.21,24.56,24.25,4.57,406.25, 8.84,5.75,66,14080,964,1268.12,0.01,0.01,21.55,
