Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/05/16 14:30:47,983.01,31.70,28.30,28.00,4.57,1093.75, 4.24,2.89,81,19200,2682,3008.10,0.02,0.04,25.24,
2023/05/16 14:30:53,982.96,31.67,28.32,28.00,4.57,1093.75, 4.45,2.68,80,18944,2678,3017.32,0.02,0.04,25.22,
2023/05/16 14:30:59,982.99,31.64,28.34,28.00,4.56,1093.75, 4.24,2.44,80,19200,2680,3013.63,0.02,0.04,25.20,
2023/05/16 14:31:05,982.95,31.60,28.37,28.00,4.57,1093.75, 4.24,2.45,80,18944,2685,3021.00,0.02,0.04,25.17,
2023/05/16 14:31:11,982.98,31.57,28.38,28.00,4.56,1093.75, 4.45,2.67,81,19200,2687,3024.69,0.02,0.04,25.15,
2023/05/16 14:31:17,982.93,31.54,28.41,28.00,4.56,1093.75, 4.46,2.67,81,19200,2689,3022.85,0.02,0.04,25.12,
2023/05/16 14:31:23,982.84,31.51,28.43,28.00,4.57,1109.38, 4.45,2.68,81,19200,2688,3024.69,0.02,0.05,25.10,
2023/05/16 14:31:29,982.88,31.46,28.44,28.00,4.57,1109.38, 4.69,2.90,81,19456,2694,3022.85,0.02,0.05,25.08,
2023/05/16 14:31:35,982.81,31.44,28.46,28.25,4.57,1109.38, 4.46,2.67,80,18944,2693,3026.53,0.02,0.05,25.05,
2023/05/16 14:31:41,982.85,31.41,28.48,28.00,4.56,1109.38, 4.47,2.45,80,19200,2692,3026.53,0.02,0.05,25.04,
2023/05/16 14:31:47,982.77,31.38,28.49,28.25,4.57,1109.38, 4.46,2.67,80,18944,2697,3028.38,0.02,0.05,25.01,
2023/05/16 14:31:53,982.79,31.35,28.50,28.25,4.57,1093.75, 4.23,2.44,82,19456,2696,3035.75,0.02,0.05,24.99,
2023/05/16 14:31:59,982.79,31.34,28.53,28.25,4.56,1093.75, 4.24,2.45,82,19456,2700,3037.59,0.02,0.05,24.97,
2023/05/16 14:32:05,982.78,31.31,28.54,28.25,4.56,1109.38, 4.24,2.68,80,18944,2700,3037.59,0.02,0.05,24.95,
2023/05/16 14:32:11,982.72,31.28,28.55,28.25,4.57,1109.38, 4.46,2.67,80,18944,2704,3033.91,0.02,0.05,24.92,
2023/05/16 14:32:17,982.78,31.27,28.55,28.00,4.57,1109.38, 4.45,2.68,80,19200,2706,3044.97,0.02,0.05,24.90,
2023/05/16 14:32:23,982.81,31.25,28.58,28.25,4.56,1125.00, 4.24,2.88,81,19200,2706,3048.65,0.02,0.05,24.88,
2023/05/16 14:32:29,982.72,31.21,28.59,28.25,4.57,1125.00, 4.24,2.44,80,19200,2712,3052.34,0.02,0.05,24.85,
2023/05/16 14:32:35,982.68,31.19,28.60,28.25,4.56,1125.00, 4.47,2.67,80,19200,2714,3052.34,0.02,0.05,24.83,
2023/05/16 14:32:41,982.66,31.18,28.62,28.25,4.56,1109.38, 4.69,2.45,80,19200,2721,3054.18,0.02,0.05,24.81,
2023/05/16 14:32:47,982.64,31.16,28.63,28.25,4.56,1093.75, 4.01,2.87,81,19200,2713,3050.50,0.02,0.05,24.78,
2023/05/16 14:32:53,982.63,31.13,28.63,28.25,4.56,1125.00, 4.45,2.45,80,18944,2716,3054.18,0.02,0.05,24.76,
2023/05/16 14:32:59,982.65,31.11,28.64,28.25,4.57,1125.00, 4.24,2.45,83,19968,2720,3057.87,0.02,0.05,24.74,
2023/05/16 14:33:05,982.68,31.10,28.66,28.25,4.57,1109.38, 4.24,2.66,83,19712,2722,3057.87,0.02,0.05,24.72,
2023/05/16 14:33:11,982.62,31.07,28.66,28.25,4.56,1140.63, 4.45,2.68,81,19456,2724,3057.87,0.02,0.05,24.69,
2023/05/16 14:33:17,982.55,31.05,28.66,28.25,4.56,1125.00, 4.48,2.68,80,19200,2726,3070.77,0.02,0.05,24.67,
2023/05/16 14:33:23,982.63,31.04,28.68,28.25,4.57,1125.00, 4.67,2.44,80,19200,2725,3063.40,0.02,0.05,24.65,
2023/05/16 14:33:29,982.59,31.02,28.69,28.25,4.57,1140.63, 4.69,2.67,81,19456,2733,3067.08,0.02,0.05,24.63,
2023/05/16 14:33:35,982.63,31.00,28.69,28.25,4.56,1140.63, 4.46,2.68,82,19712,2728,3070.77,0.02,0.05,24.61,
2023/05/16 14:33:41,982.56,30.98,28.69,28.50,4.57,1125.00, 4.47,2.90,82,19712,2734,3076.30,0.02,0.05,24.58,
2023/05/16 14:33:47,982.52,30.96,28.70,28.25,4.57,1109.38, 4.48,2.45,81,19200,2732,3074.46,0.02,0.05,24.57,
2023/05/16 14:33:53,982.53,30.94,28.71,28.25,4.56,1125.00, 4.46,2.67,81,18944,2740,3070.77,0.02,0.05,24.55,
2023/05/16 14:33:59,982.54,30.93,28.71,28.25,4.57,1109.38, 4.24,2.44,80,19200,2739,3078.14,0.02,0.05,24.52,
2023/05/16 14:34:05,982.56,30.91,28.71,28.25,4.56,1109.38, 4.46,2.45,81,19200,2744,3081.83,0.02,0.05,24.50,
2023/05/16 14:34:11,982.56,30.90,28.72,28.25,4.56,1140.63, 4.24,2.67,81,19200,2743,3087.36,0.02,0.05,24.47,
2023/05/16 14:34:17,982.55,30.88,28.71,28.25,4.55,1140.63, 4.46,2.90,81,19200,2745,3087.36,0.02,0.05,24.45,
2023/05/16 14:34:23,982.52,30.88,28.72,28.25,4.56,1140.63, 4.46,2.44,82,19712,2748,3083.67,0.02,0.05,24.43,
2023/05/16 14:34:29,982.60,30.86,28.73,28.25,4.56,1140.63, 3.99,2.90,82,19712,2753,3094.73,0.02,0.05,24.41,
2023/05/16 14:34:35,982.53,30.85,28.72,28.25,4.56,1140.63, 4.45,2.68,82,19712,2754,3087.36,0.02,0.05,24.39,
2023/05/16 14:34:41,982.57,30.85,28.73,28.25,4.57,1140.63, 4.24,2.45,82,19456,2753,3096.58,0.02,0.05,24.37,
2023/05/16 14:34:47,982.58,30.83,28.72,28.25,4.56,1140.63, 4.46,2.45,82,19456,2758,3102.11,0.02,0.05,24.35,
2023/05/16 14:34:53,982.57,30.81,28.73,28.25,4.57,1140.63, 4.67,2.45,81,19456,2766,3102.11,0.02,0.05,24.32,
2023/05/16 14:34:59,982.54,30.81,28.72,28.25,4.57,1140.63, 4.47,2.66,82,19456,2762,3100.26,0.02,0.05,24.30,
2023/05/16 14:35:05,982.62,30.79,28.72,28.25,4.57,1140.63, 4.45,2.67,82,19456,2766,3100.26,0.02,0.05,24.28,
2023/05/16 14:35:11,982.60,30.79,28.72,28.25,4.56,1156.25, 4.46,2.89,82,19712,2763,3107.64,0.02,0.05,24.26,
2023/05/16 14:35:17,982.58,30.77,28.73,28.50,4.55,1156.25, 4.46,2.67,82,19456,2768,3109.48,0.02,0.05,24.24,
2023/05/16 14:35:23,982.58,30.76,28.73,28.25,4.56,1156.25, 4.47,2.68,83,19712,2770,3115.01,0.02,0.05,24.21,
2023/05/16 14:35:29,982.66,30.76,28.72,28.25,4.55,1156.25, 4.24,2.45,82,19712,2773,3111.32,0.02,0.05,24.19,
2023/05/16 14:35:35,982.63,30.75,28.72,28.25,4.57,1156.25, 4.45,2.68,83,19968,2773,3124.22,0.02,0.05,24.18,
2023/05/16 14:35:41,982.65,30.74,28.73,28.25,4.56,1156.25, 4.24,2.67,83,19712,2775,3116.85,0.02,0.05,24.15,
2023/05/16 14:35:47,982.66,30.73,28.72,28.25,4.57,1156.25, 4.23,2.45,83,19712,2776,3129.75,0.02,0.05,24.14,
2023/05/16 14:35:53,982.57,30.72,28.72,28.25,4.56,1156.25, 4.69,2.45,83,19968,2783,3129.75,0.02,0.05,24.11,
