Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/05/16 23:17:23,979.58,26.80,39.39,39.00,4.50,1265.63, 4.48,3.10,75,19200,2898,3041.28,0.03,0.05,30.60,
2023/05/16 23:17:29,979.60,26.80,39.38,39.00,4.51,1234.38, 4.45,3.12,76,19456,2861,3011.79,0.03,0.05,30.59,
2023/05/16 23:17:35,979.56,26.82,39.36,39.00,4.52,1218.75, 4.70,2.68,75,19456,2854,3019.16,0.03,0.05,30.58,
2023/05/16 23:17:41,979.62,26.83,39.34,39.00,4.51,1234.38, 4.48,2.91,76,19456,2871,3009.95,0.03,0.05,30.57,
2023/05/16 23:17:47,979.61,26.88,39.29,39.00,4.51,1187.50, 4.70,2.68,77,19712,2867,3006.26,0.03,0.05,30.56,
2023/05/16 23:17:53,979.56,26.92,39.23,39.00,4.51,1156.25, 4.67,3.10,75,19200,2841,2985.98,0.03,0.05,30.54,
2023/05/16 23:17:59,979.55,26.93,39.22,38.75,4.51,1140.63, 4.22,3.14,76,19456,2851,2995.20,0.03,0.05,30.53,
2023/05/16 23:18:05,979.62,26.93,39.20,39.00,4.51,1140.63, 4.46,2.89,74,18944,2865,2989.67,0.03,0.05,30.52,
2023/05/16 23:18:11,979.61,26.95,39.18,39.00,4.52,1109.38, 4.43,3.12,75,19456,2899,3015.48,0.03,0.05,30.51,
2023/05/16 23:18:17,979.58,26.96,39.16,38.75,4.51,1109.38, 4.44,2.67,75,19200,2878,2998.89,0.03,0.05,30.50,
2023/05/16 23:18:23,979.57,26.99,39.12,38.75,4.51,1109.38, 4.22,3.11,76,19712,2857,2991.51,0.03,0.05,30.49,
2023/05/16 23:18:29,979.57,27.02,39.09,38.75,4.51,1109.38, 4.67,3.11,77,19968,2900,3017.32,0.03,0.05,30.48,
2023/05/16 23:18:35,979.60,27.03,39.07,38.75,4.50,1109.38, 4.69,2.89,77,19712,2865,2995.20,0.03,0.05,30.46,
2023/05/16 23:18:41,979.60,27.05,39.04,38.75,4.52,1125.00, 4.67,2.90,77,19968,2899,3000.73,0.03,0.05,30.45,
2023/05/16 23:18:47,979.57,27.08,39.00,38.50,4.51,1125.00, 4.67,2.90,76,19712,2901,2997.04,0.03,0.05,30.44,
2023/05/16 23:18:53,979.56,27.10,38.98,38.50,4.50,1125.00, 4.68,3.12,75,19456,2884,2989.67,0.03,0.05,30.44,
2023/05/16 23:18:59,979.49,27.13,38.96,38.50,4.51,1140.63, 4.67,3.11,76,19456,2961,3019.16,0.04,0.05,30.43,
2023/05/16 23:19:05,979.51,27.15,38.93,38.50,4.52,1140.63, 4.70,2.68,75,19200,2940,3013.63,0.04,0.05,30.41,
