Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/05/16 14:27:55,990.40,33.22,27.14,26.50,4.56,1125.00, 4.43,2.67,75,17920,2560,2858.80,0.02,0.04,25.75,
2023/05/16 14:27:59,990.41,33.25,27.21,26.75,4.56,1140.63, 4.45,2.68,78,18688,2621,2954.65,0.02,0.04,25.76,
2023/05/16 14:28:05,989.91,33.29,27.29,26.75,4.57,1140.63, 4.47,2.68,79,18688,2625,2954.65,0.02,0.04,25.75,
2023/05/16 14:28:11,989.20,33.21,27.37,27.00,4.56,1125.00, 4.65,2.68,77,18176,2608,2927.00,0.02,0.04,25.75,
2023/05/16 14:28:17,988.62,33.08,27.42,27.00,4.56,1125.00, 4.46,2.67,79,18688,2622,2947.28,0.02,0.04,25.73,
2023/05/16 14:28:23,988.03,32.95,27.49,27.00,4.56,1125.00, 4.47,2.67,79,18944,2626,2958.34,0.02,0.04,25.72,
2023/05/16 14:28:29,987.54,32.87,27.53,27.25,4.56,1109.38, 4.46,2.44,79,18688,2629,2956.49,0.02,0.04,25.71,
2023/05/16 14:28:35,987.05,32.78,27.58,27.00,4.56,1109.38, 4.24,2.90,80,18944,2630,2965.71,0.02,0.04,25.70,
2023/05/16 14:28:41,986.60,32.71,27.63,27.25,4.56,1125.00, 4.43,2.45,80,18944,2637,2963.87,0.02,0.04,25.68,
2023/05/16 14:28:47,986.15,32.65,27.67,27.25,4.57,1109.38, 4.26,2.67,80,18944,2637,2963.87,0.02,0.04,25.66,
2023/05/16 14:28:53,985.79,32.59,27.71,27.25,4.57,1109.38, 4.67,2.68,80,18944,2639,2971.24,0.02,0.04,25.65,
2023/05/16 14:28:59,985.47,32.51,27.75,27.50,4.56,1093.75, 4.69,2.89,80,18944,2644,2969.40,0.02,0.04,25.63,
2023/05/16 14:29:05,985.16,32.46,27.79,27.50,4.57,1093.75, 4.45,2.68,80,19200,2642,2978.61,0.02,0.04,25.61,
2023/05/16 14:29:11,984.89,32.40,27.82,27.50,4.56,1093.75, 4.23,2.90,80,19200,2651,2980.45,0.02,0.04,25.59,
2023/05/16 14:29:17,984.61,32.36,27.86,27.50,4.56,1093.75, 4.24,2.66,80,19200,2645,2982.30,0.02,0.04,25.57,
2023/05/16 14:29:23,984.42,32.31,27.89,27.50,4.56,1093.75, 4.23,2.68,80,19200,2649,2980.45,0.02,0.04,25.55,
2023/05/16 14:29:29,984.29,32.26,27.92,27.50,4.56,1093.75, 4.00,2.45,80,19200,2656,2985.98,0.02,0.04,25.53,
2023/05/16 14:29:35,984.09,32.22,27.96,27.50,4.57,1093.75, 4.46,2.44,81,19456,2657,2987.83,0.02,0.04,25.51,
2023/05/16 14:29:41,983.93,32.17,28.00,27.50,4.56,1078.13, 4.45,2.66,79,18944,2652,2985.98,0.02,0.04,25.48,
2023/05/16 14:29:47,983.81,32.12,28.03,27.75,4.56,1093.75, 4.67,2.68,79,18688,2656,2995.20,0.02,0.04,25.46,
2023/05/16 14:29:53,983.61,32.06,28.06,27.75,4.57,1093.75, 4.24,2.45,81,19456,2663,2991.51,0.02,0.04,25.44,
2023/05/16 14:29:59,983.58,32.02,28.09,27.75,4.56,1093.75, 4.24,2.67,81,19456,2660,3000.73,0.02,0.04,25.42,
2023/05/16 14:30:05,983.48,31.98,28.11,27.75,4.56,1093.75, 4.45,2.67,80,18688,2663,2998.89,0.02,0.04,25.40,
2023/05/16 14:30:11,983.35,31.94,28.15,27.75,4.57,1093.75, 4.00,2.89,81,19712,2670,3000.73,0.02,0.04,25.38,
2023/05/16 14:30:17,983.32,31.90,28.17,27.75,4.56,1093.75, 4.23,2.68,80,19200,2675,3008.10,0.02,0.04,25.36,
2023/05/16 14:30:23,983.25,31.84,28.20,27.75,4.56,1093.75, 4.45,2.89,82,19456,2671,3004.42,0.02,0.04,25.34,
2023/05/16 14:30:29,983.12,31.81,28.22,27.75,4.56,1093.75, 4.45,2.44,80,19200,2670,3008.10,0.02,0.04,25.31,
2023/05/16 14:30:35,983.15,31.77,28.25,27.75,4.56,1093.75, 4.46,2.23,80,19200,2675,3011.79,0.02,0.04,25.29,
2023/05/16 14:30:41,983.08,31.73,28.27,28.00,4.57,1093.75, 4.23,2.45,81,19200,2680,3013.63,0.02,0.04,25.27,
2023/05/16 14:30:47,983.01,31.70,28.30,28.00,4.57,1093.75, 4.24,2.89,81,19200,2682,3008.10,0.02,0.04,25.24,
2023/05/16 14:30:53,982.96,31.67,28.32,28.00,4.57,1093.75, 4.45,2.68,80,18944,2678,3017.32,0.02,0.04,25.22,
2023/05/16 14:30:59,982.99,31.64,28.34,28.00,4.56,1093.75, 4.24,2.44,80,19200,2680,3013.63,0.02,0.04,25.20,
