Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/03/15 16:07:19,985.58,29.71,19.24,18.75,4.59,1765.63, 4.87,6.93,113,27392,3825,4084.53,0.05,0.07,17.42,
2023/03/15 16:07:25,984.79,29.44,19.38,19.00,4.59,1906.25, 4.44,8.04,111,26624,3589,3784.09,0.05,0.07,17.45,
2023/03/15 16:07:31,984.22,29.11,19.50,19.25,4.59,2000.00, 4.90,6.49,120,28416,4006,4333.36,0.05,0.08,17.46,
2023/03/15 16:07:37,983.71,28.81,19.62,19.25,4.59,2015.63, 4.66,6.47,118,28160,4015,4359.17,0.05,0.08,17.48,
2023/03/15 16:07:43,983.28,28.51,19.73,19.50,4.60,2015.63, 4.94,6.47,119,28416,4019,4362.85,0.05,0.08,17.49,
2023/03/15 16:07:49,982.95,28.21,19.82,19.50,4.59,2000.00, 4.70,6.44,121,28928,4025,4366.54,0.05,0.08,17.50,
2023/03/15 16:07:55,982.56,27.93,19.93,19.75,4.59,2031.25, 4.90,6.69,121,28928,4023,4373.91,0.05,0.08,17.50,
2023/03/15 16:08:01,982.22,27.65,20.02,19.75,4.59,2000.00, 4.68,6.47,119,28416,4017,4373.91,0.05,0.08,17.50,
2023/03/15 16:08:07,981.87,27.39,20.10,19.75,4.60,1984.38, 4.46,6.47,120,28416,4029,4370.23,0.05,0.08,17.48,
2023/03/15 16:08:13,981.59,27.13,20.18,20.00,4.59,1968.75, 4.68,6.49,121,29184,4022,4375.76,0.05,0.08,17.48,
2023/03/15 16:08:19,981.39,26.89,20.27,20.00,4.59,1953.13, 4.68,6.69,119,28160,4023,4368.38,0.05,0.08,17.45,
2023/03/15 16:08:25,981.18,26.65,20.34,20.00,4.59,1937.50, 4.46,6.25,121,28928,4025,4372.07,0.05,0.08,17.43,
2023/03/15 16:08:31,981.12,26.41,20.42,20.25,4.60,1937.50, 4.70,6.47,121,29184,4022,4377.60,0.05,0.08,17.41,
2023/03/15 16:08:37,981.05,26.18,20.50,20.25,4.59,1937.50, 4.68,6.25,119,28416,4030,4375.76,0.05,0.08,17.39,
