filename,time,b,g,r
RCNX0001,2023-06-06 15:21:00,152.84621255760368,129.29581587767072,103.5565895126379
RCNX0002,2023-06-06 15:24:00,158.18921327328584,134.6907677000419,108.69436662128194
RCNX0003,2023-06-06 15:27:00,110.55483914606899,95.25815179444211,77.48026637341154
RCNX0004,2023-06-06 15:30:00,110.83125916422287,97.10789737815948,80.84047313573524
RCNX0005,2023-06-06 15:33:00,107.32248943932412,94.14983198924732,78.75753517316018
RCNX0006,2023-06-06 15:36:00,139.6248559907834,120.00776995182237,99.21581744868035
RCNX0007,2023-06-06 15:39:00,147.53290174207513,128.9130742913001,108.14399961597542
RCNX0008,2023-06-06 15:42:00,111.5364914990923,100.47753107107945,85.82461597542243
RCNX0009,2023-06-06 15:45:00,109.10457818391286,99.13339050062841,85.61188512428431
RCNX0010,2023-06-06 15:48:00,115.30675839617372,105.30809375436391,90.9829449448401
RCNX0011,2023-06-06 15:51:00,106.7362165724061,95.21112318461108,80.86158532327887
RCNX0012,2023-06-06 15:54:00,145.79292871107387,127.24847306591258,106.19875453847229
RCNX0013,2023-06-06 15:57:00,133.75561548666388,114.42912739142578,94.01671248778104
RCNX0014,2023-06-06 16:00:00,142.67306198505796,122.31190563468789,99.59414057045106
RCNX0015,2023-06-06 16:03:00,146.3622573662896,126.57771522832007,103.59186609761207
RCNX0016,2023-06-06 16:06:00,141.08832085253457,121.26853704091607,99.19352744030164
RCNX0017,2023-06-06 16:09:00,135.4188119676023,115.56749711981567,93.77732378508588
RCNX0018,2023-06-06 16:12:00,129.94035269166318,110.17681975282781,89.22154639715123
RCNX0019,2023-06-06 16:15:00,129.70191139505656,109.2739081483033,87.9761913489736
RCNX0020,2023-06-06 16:18:00,133.29664240329564,113.8197685379137,92.33152318111996
RCNX0021,2023-06-06 16:21:00,146.17329065423823,129.75146583926826,109.05545838570032
RCNX0022,2023-06-06 16:24:00,146.3320437962575,130.2993497765675,110.00432114928083
RCNX0023,2023-06-06 16:27:00,110.53552576455802,104.31928719801704,92.8416675394498
RCNX0024,2023-06-06 16:30:00,115.6127133954755,109.50362772308337,97.6537900607457
RCNX0025,2023-06-06 16:33:00,105.39301118907974,99.87422584136294,89.90191008588187
