time,Pyro [uV],IR_S_u
2023-06-10 14:42:06-05:00,328,0.0
2023-06-10 14:42:12-05:00,328,0.0
2023-06-10 14:42:18-05:00,328,0.0
2023-06-10 14:42:24-05:00,312,0.0
2023-06-10 14:42:30-05:00,312,0.0
2023-06-10 14:42:36-05:00,312,0.0
2023-06-10 14:42:42-05:00,328,0.0
2023-06-10 14:42:48-05:00,312,0.0
2023-06-10 14:42:54-05:00,312,0.0
2023-06-10 14:43:00-05:00,359,0.0
2023-06-10 14:43:06-05:00,312,0.0
2023-06-10 14:43:12-05:00,297,0.0
2023-06-10 14:43:18-05:00,312,0.0
2023-06-10 14:43:24-05:00,281,0.0
2023-06-10 14:43:30-05:00,328,0.0
2023-06-10 14:43:36-05:00,297,0.0
2023-06-10 14:43:42-05:00,281,0.0
2023-06-10 14:43:48-05:00,266,0.0
2023-06-10 14:43:54-05:00,297,0.0
2023-06-10 14:44:00-05:00,297,0.0
2023-06-10 14:44:06-05:00,344,0.0
2023-06-10 14:44:12-05:00,328,0.0
2023-06-10 14:44:18-05:00,312,0.0
2023-06-10 14:44:24-05:00,312,0.0
2023-06-10 14:44:30-05:00,312,0.0
2023-06-10 14:44:36-05:00,328,0.0
2023-06-10 14:44:42-05:00,359,0.0
2023-06-10 14:44:48-05:00,359,0.0
2023-06-10 14:44:54-05:00,359,0.0
2023-06-10 14:45:00-05:00,344,0.0
2023-06-10 14:45:06-05:00,344,0.0
2023-06-10 14:45:12-05:00,344,0.0
2023-06-10 14:45:18-05:00,344,0.0
2023-06-10 14:45:24-05:00,328,0.0
2023-06-10 14:45:30-05:00,328,0.0
2023-06-10 14:46:30-05:00,375,0.0
2023-06-10 14:46:36-05:00,359,0.0
2023-06-10 14:48:24-05:00,406,0.0
2023-06-10 15:38:18-05:00,234,0.0
2023-06-10 15:38:24-05:00,234,0.0
2023-06-10 15:38:30-05:00,234,0.0
2023-06-10 15:38:36-05:00,234,0.0
2023-06-10 15:38:42-05:00,234,0.0
2023-06-10 15:38:48-05:00,234,0.0
2023-06-10 15:38:54-05:00,234,0.0
2023-06-10 15:39:00-05:00,234,0.0
2023-06-10 15:39:06-05:00,234,0.0
2023-06-10 15:39:12-05:00,234,0.0
2023-06-10 15:39:18-05:00,234,0.0
2023-06-10 15:39:24-05:00,234,0.0
2023-06-10 15:39:30-05:00,219,0.0
2023-06-10 15:39:36-05:00,219,0.0
2023-06-10 15:39:42-05:00,234,0.0
2023-06-10 15:39:48-05:00,234,0.0
2023-06-10 15:39:54-05:00,234,0.0
2023-06-10 15:40:00-05:00,219,0.0
2023-06-10 15:40:06-05:00,219,0.0
2023-06-10 15:40:12-05:00,219,0.0
2023-06-10 15:40:18-05:00,219,0.0
2023-06-10 15:40:24-05:00,219,0.0
2023-06-10 15:40:30-05:00,219,0.0
2023-06-10 15:40:36-05:00,203,0.0
2023-06-10 15:40:42-05:00,203,0.0
