Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C],
2024/12/20 20:54:02,1001.46,15.83,23.42,23.25,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:54:17,1001.57,16.58,23.03,22.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:54:33,1001.60,17.57,22.24,21.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:54:49,1001.56,18.96,21.40,21.00,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:55:05,1001.51,20.49,20.56,20.25,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:55:21,1001.52,22.21,19.75,19.25,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:55:37,1001.58,23.67,19.02,18.50,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:55:53,1001.53,25.67,18.30,18.00,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:56:09,1001.59,27.34,17.65,17.25,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:56:25,1001.61,28.74,17.04,16.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:56:41,1001.57,30.05,16.49,16.25,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:56:57,1001.58,31.60,15.97,15.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:57:13,1001.55,33.19,15.48,15.00,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:57:29,1001.54,34.57,15.04,14.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:57:45,1001.57,35.04,14.65,14.50,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:58:01,1001.55,35.46,14.26,13.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:58:17,1001.60,35.37,13.91,13.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:58:33,1001.56,35.19,13.57,13.25,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:58:49,1001.56,34.80,13.26,13.00,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:59:05,1001.55,34.47,12.97,12.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:59:21,1001.55,33.64,12.69,12.50,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:59:37,1001.56,33.17,12.41,12.25,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 20:59:53,1001.55,32.33,12.15,12.00,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 21:00:09,1001.52,31.42,11.90,11.75,4.76,-250710.02,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
