Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C],
2024/12/20 18:00:22,1002.28,7.90,25.85,25.75,4.88,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:00:37,1002.26,8.30,25.14,24.75,4.91,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:00:56,1002.26,8.99,24.28,24.00,4.96,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:01:15,1002.20,9.77,23.39,23.00,5.07,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:01:34,1002.24,10.71,22.65,22.25,6.12,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:01:53,1002.25,11.59,21.99,21.50,8.49,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:02:12,1002.25,12.54,21.37,21.00,9.49,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:02:31,1002.28,13.51,20.75,20.25,9.48,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:02:50,1002.26,14.42,20.21,19.75,9.49,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:03:09,1002.29,15.32,19.72,19.25,9.48,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:03:28,1002.25,16.32,19.24,18.75,9.48,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:03:47,1002.32,17.34,18.79,18.25,9.48,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:04:06,1002.29,18.17,18.36,18.00,9.48,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:04:25,1002.30,19.07,17.96,17.50,9.48,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
2024/12/20 18:04:44,1002.28,20.06,17.58,17.00,9.48,9250.00,-9999.00,-9999.00,-1,-1,65535,15461410.00,8.19,8.19, NAN,
