time,Pyro [uV],IR_S_u
2023-06-14 00:00:00-05:00,31,0.0
2023-06-14 00:00:06-05:00,31,0.0
2023-06-14 00:00:12-05:00,31,0.0
2023-06-14 00:00:18-05:00,31,0.0
2023-06-14 00:00:24-05:00,31,0.0
2023-06-14 00:00:30-05:00,31,0.0
2023-06-14 00:00:36-05:00,31,0.0
2023-06-14 00:00:42-05:00,31,0.0
2023-06-14 00:00:48-05:00,31,0.0
2023-06-14 00:00:54-05:00,31,0.0
2023-06-14 00:01:00-05:00,31,0.0
2023-06-14 00:01:06-05:00,31,0.0
2023-06-14 00:01:12-05:00,31,0.0
2023-06-14 00:01:18-05:00,31,0.0
2023-06-14 00:01:24-05:00,31,0.0
2023-06-14 00:01:30-05:00,31,0.0
2023-06-14 00:01:36-05:00,31,0.0
2023-06-14 00:01:42-05:00,31,0.0
2023-06-14 00:01:48-05:00,31,0.0
2023-06-14 00:01:54-05:00,31,0.0
2023-06-14 00:02:00-05:00,31,0.0
2023-06-14 00:02:06-05:00,31,0.0
2023-06-14 00:02:12-05:00,31,0.0
2023-06-14 00:02:18-05:00,31,0.0
2023-06-14 00:02:24-05:00,31,0.0
2023-06-14 00:02:30-05:00,31,0.0
2023-06-14 00:02:36-05:00,31,0.0
2023-06-14 00:02:42-05:00,31,0.0
2023-06-14 00:02:48-05:00,31,0.0
2023-06-14 00:02:54-05:00,31,0.0
2023-06-14 00:03:00-05:00,31,0.0
2023-06-14 00:03:06-05:00,31,0.0
2023-06-14 00:03:12-05:00,31,0.0
2023-06-14 00:03:18-05:00,31,0.0
2023-06-14 00:03:24-05:00,31,0.0
2023-06-14 00:03:30-05:00,31,0.0
2023-06-14 00:03:36-05:00,31,0.0
2023-06-14 00:03:42-05:00,31,0.0
2023-06-14 00:03:48-05:00,31,0.0
2023-06-14 00:03:54-05:00,31,0.0
2023-06-14 00:04:00-05:00,31,0.0
2023-06-14 00:04:06-05:00,31,0.0
2023-06-14 00:04:12-05:00,31,0.0
2023-06-14 00:04:18-05:00,31,0.0
2023-06-14 00:04:24-05:00,31,0.0
