Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/06/22 17:43:45,974.13,8.10,69.47,69.25,3.78,3187.50, 6.01,0.00,331,83968,5609,6005.15,0.00,0.03,43.89,
2023/06/22 17:43:49,973.93,8.16,69.33,69.25,3.77,3156.25, 5.82,-0.43,334,84480,5591,5977.50,0.00,0.03,43.83,
2023/06/22 17:43:55,973.94,8.26,69.12,69.00,3.77,3156.25, 6.01,-0.21,334,84480,5603,5979.34,0.00,0.03,43.72,
2023/06/22 17:44:01,973.71,8.35,68.92,68.75,3.78,3203.13, 5.80,0.00,335,84992,5647,6036.48,0.00,0.03,43.66,
2023/06/22 17:44:07,973.66,8.46,68.72,68.50,3.78,3265.63, 6.03,-0.21,341,86528,5719,6117.58,0.00,0.03,43.60,
2023/06/22 17:44:13,973.40,8.57,68.46,68.25,3.77,3265.63, 6.01,-0.64,338,85248,5664,6060.44,0.00,0.03,43.57,
2023/06/22 17:44:19,973.26,8.70,68.23,68.25,3.77,3218.75, 5.80,-0.64,340,86272,5664,6082.56,0.00,0.03,43.52,
2023/06/22 17:44:25,973.10,8.79,68.03,68.00,3.78,3265.63, 5.99,-0.43,344,87552,5756,6158.13,0.00,0.03,43.46,
2023/06/22 17:44:31,972.99,8.87,67.87,67.75,3.77,3281.25, 5.80,-0.22,341,86272,5696,6093.62,0.00,0.03,43.42,
2023/06/22 17:44:37,972.81,8.96,67.67,67.50,3.77,3265.63, 5.80,-0.21,338,85760,5681,6054.91,0.00,0.03,43.35,
2023/06/22 17:44:43,972.62,9.07,67.45,67.25,3.77,3265.63, 5.80,-0.65,339,86528,5711,6093.62,0.00,0.03,43.30,
2023/06/22 17:44:49,972.55,9.16,67.24,67.00,3.77,3281.25, 6.06,-0.22,341,87040,5708,6093.62,0.00,0.03,43.27,
2023/06/22 17:44:55,972.49,9.26,67.03,66.75,3.77,3296.88, 6.03,-0.22,342,87040,5750,6121.27,0.00,0.03,43.24,
2023/06/22 17:45:01,972.27,9.35,66.85,66.75,3.77,3328.13, 6.23,-0.21,343,87296,5762,6147.07,0.00,0.04,43.20,
2023/06/22 17:45:07,972.21,9.42,66.71,66.50,3.77,3359.38, 6.03,-0.21,346,88064,5809,6180.25,0.00,0.04,43.15,
2023/06/22 17:45:13,972.09,9.54,66.47,66.25,3.77,3375.00, 5.84,-0.43,347,88320,5825,6228.17,0.00,0.04,43.11,
2023/06/22 17:45:19,971.97,9.60,66.35,66.25,3.77,3421.88, 6.06,-0.43,350,89344,5846,6279.78,0.00,0.04,43.05,
2023/06/22 17:45:25,971.86,9.68,66.18,66.00,3.77,3453.13, 5.80,-0.64,352,89600,5875,6300.06,0.00,0.05,43.02,
2023/06/22 17:45:31,971.71,9.76,66.02,65.75,3.77,3468.75, 5.80,-0.43,354,90368,5928,6340.61,0.00,0.05,42.98,
2023/06/22 17:45:37,971.61,9.83,65.87,65.75,3.77,3515.63, 6.06,-0.22,359,91904,5961,6401.43,0.00,0.05,42.95,
2023/06/22 17:45:43,971.52,9.92,65.70,65.50,3.77,3562.50, 5.80,-0.64,362,92416,6029,6477.00,0.00,0.05,42.91,
2023/06/22 17:45:49,971.56,10.02,65.52,65.25,3.77,3625.00, 6.03,-0.22,368,93696,6087,6556.26,0.00,0.06,42.87,
2023/06/22 17:45:55,971.51,10.07,65.42,65.25,3.77,3953.13, 6.03,-0.22,406,104960,6632,7149.77,0.00,0.08,42.84,
2023/06/22 17:46:01,971.63,10.05,65.40,65.25,3.77,4921.88, 6.01,-0.43,478,125952,7554,8180.12,0.00,0.12,42.83,
2023/06/22 17:46:07,971.88,9.99,65.50,65.50,3.77,6484.38, 5.78,-0.21,594,159744,8769,9741.31,0.00,0.19,42.83,
2023/06/22 17:46:13,972.57,9.84,65.70,66.00,3.77,8562.50, 5.78,-0.21,726,199424,9887,11049.98,0.00,0.27,42.90,
2023/06/22 17:46:19,973.24,9.66,65.98,66.25,3.77,10187.50, 5.99,-0.43,800,221696,10378,11704.32,0.00,0.31,42.97,
2023/06/22 17:46:25,973.81,9.53,66.19,66.50,3.77,10296.88, 5.97,-0.43,751,207360,9985,11256.42,0.00,0.28,43.02,
2023/06/22 17:46:31,973.89,9.63,66.00,66.25,3.77,6671.88, 5.80,-0.21,451,117760,7201,7826.23,0.00,0.10,42.99,
2023/06/22 17:46:37,973.52,9.71,65.85,66.00,3.77,4703.13, 6.01,-0.21,407,104704,6575,7160.83,0.00,0.07,42.94,
2023/06/22 17:46:43,973.40,9.81,65.63,65.75,3.77,4109.38, 5.78,-0.21,395,100864,6393,6978.35,0.00,0.07,42.89,
2023/06/22 17:46:49,973.21,9.89,65.51,65.50,3.77,4062.50, 6.03,-0.43,399,102144,6463,7050.24,0.00,0.07,42.83,
2023/06/22 17:46:55,973.13,9.93,65.41,65.50,3.77,4265.63, 6.01,-0.22,430,110848,6909,7490.76,0.00,0.09,42.80,
2023/06/22 17:47:01,973.43,9.91,65.39,65.50,3.77,5718.75, 5.80,-0.43,540,143616,8197,8981.91,0.00,0.15,42.76,
2023/06/22 17:47:07,973.84,9.84,65.47,65.75,3.77,7203.13, 5.99,-0.43,670,182016,9405,10456.47,0.00,0.23,42.79,
2023/06/22 17:47:13,974.21,9.79,65.60,65.75,3.77,7687.50, 5.80,-0.43,570,152832,8482,9383.73,0.00,0.17,42.79,
2023/06/22 17:47:19,973.98,9.89,65.37,65.50,3.77,4984.38, 6.03,-0.43,398,102144,6492,7026.28,0.00,0.08,42.75,
2023/06/22 17:47:25,973.72,10.03,65.12,65.25,3.77,3890.63, 5.82,-0.43,366,92672,5976,6502.81,0.00,0.06,42.68,
2023/06/22 17:47:31,973.59,10.14,64.92,65.00,3.77,3562.50, 5.80,-0.21,357,90368,5879,6373.79,0.00,0.06,42.63,
2023/06/22 17:47:37,973.48,10.21,64.77,64.75,3.77,3437.50, 5.80,-0.22,352,88576,5770,6290.84,0.00,0.05,42.58,
2023/06/22 17:47:43,973.39,10.31,64.59,64.50,3.77,3359.38, 5.80,-0.43,349,87808,5712,6224.49,0.00,0.05,42.52,
2023/06/22 17:47:49,973.28,10.42,64.39,64.25,3.77,3343.75, 6.01,-0.43,347,87296,5706,6218.96,0.00,0.05,42.48,
2023/06/22 17:47:55,973.21,10.52,64.20,64.00,3.77,3343.75, 5.76,-0.21,349,87808,5701,6228.17,0.00,0.05,42.49,
2023/06/22 17:48:01,973.20,10.62,64.01,64.00,3.77,3359.38, 5.80,-0.22,350,88064,5723,6239.23,0.00,0.06,42.44,
2023/06/22 17:48:07,973.15,10.70,63.83,63.75,3.77,3375.00, 6.23,-0.22,354,89088,5757,6294.53,0.00,0.06,42.39,
2023/06/22 17:48:13,973.05,10.78,63.70,63.75,3.77,3421.88, 5.80,-0.43,359,90112,5850,6386.69,0.00,0.06,42.34,
2023/06/22 17:48:19,972.99,10.84,63.58,63.50,3.77,3593.75, 5.84,-0.43,374,94464,6087,6642.89,0.00,0.07,42.29,
2023/06/22 17:48:25,973.08,10.88,63.50,63.50,3.77,4093.75, 5.84,0.00,425,109568,6809,7418.88,0.00,0.10,42.26,
2023/06/22 17:48:31,973.21,10.81,63.55,63.50,3.77,5500.00, 6.03,-0.21,520,137472,7992,8738.61,0.00,0.16,42.25,
2023/06/22 17:48:37,973.35,10.82,63.51,63.50,3.77,5218.75, 5.82,-0.64,455,118528,7251,7962.62,0.00,0.12,42.24,
2023/06/22 17:48:43,973.60,10.79,63.55,63.50,3.77,6250.00, 5.56,-0.21,591,158208,8743,9586.48,0.00,0.20,42.24,
2023/06/22 17:48:49,973.99,10.71,63.64,63.75,3.77,7140.63, 6.01,-0.64,586,156416,8608,9566.21,0.00,0.19,42.26,
2023/06/22 17:48:55,974.03,10.72,63.59,63.75,3.77,5812.50, 6.01,-0.43,469,121600,7328,8021.61,0.00,0.13,42.24,
2023/06/22 17:49:01,974.16,10.70,63.61,63.50,3.77,5875.00, 6.01,-0.43,544,143872,8275,9059.33,0.00,0.17,42.22,
2023/06/22 17:49:07,974.83,10.50,63.88,64.00,3.77,8734.38, 6.18,-0.64,792,217856,10437,11931.03,0.00,0.33,42.27,
2023/06/22 17:49:13,975.70,10.19,64.38,64.75,3.77,12265.63, 5.76,-0.21,964,269568,11167,13130.96,0.00,0.43,42.37,
2023/06/22 17:49:19,976.57,9.88,64.86,65.50,3.77,13109.38, 5.71,0.00,962,269312,11216,13138.33,0.00,0.43,42.48,
2023/06/22 17:49:25,977.29,9.64,65.25,65.75,3.77,13234.38, 5.95,-0.21,959,268544,11185,13116.21,0.00,0.43,42.57,
2023/06/22 17:49:31,977.81,9.42,65.60,66.25,3.77,13218.75, 5.54,-0.42,956,267008,11184,13129.11,0.00,0.43,42.64,
2023/06/22 17:49:37,978.46,9.21,65.95,66.75,3.77,13218.75, 5.92,-0.21,960,267776,11177,13138.33,0.00,0.43,42.72,
2023/06/22 17:49:43,979.11,9.04,66.22,66.75,3.77,13203.13, 5.73,-0.21,955,266752,11146,13084.88,0.00,0.43,42.80,
2023/06/22 17:49:49,979.57,8.83,66.58,67.25,3.77,13203.13, 5.97,-0.21,959,267264,11137,13070.13,0.00,0.43,42.87,
2023/06/22 17:49:55,980.08,8.69,66.82,67.50,3.77,13031.25, 6.16,-0.63,942,262400,11365,12909.77,0.00,0.42,42.93,
2023/06/22 17:50:01,980.65,8.52,67.13,68.00,3.77,13093.75, 5.73,-0.21,960,267008,11068,13079.35,0.00,0.43,42.99,
2023/06/22 17:50:07,980.85,8.44,67.24,68.25,3.77,11656.25, 5.97,-0.21,814,223488,10476,11945.78,0.00,0.34,43.03,
2023/06/22 17:50:13,980.74,8.51,67.14,67.75,3.77,8484.38, 5.99,-0.21,591,156928,8662,9568.05,0.00,0.20,43.01,
2023/06/22 17:50:19,980.61,8.65,66.88,67.50,3.77,6796.88, 5.99,-0.21,554,145664,8300,9136.74,0.00,0.18,42.96,
2023/06/22 17:50:25,980.69,8.61,66.96,67.50,3.77,7765.63, 5.78,-0.64,680,182784,9440,10550.48,0.00,0.26,43.03,
2023/06/22 17:50:31,980.64,8.70,66.76,67.25,3.77,6718.75, 6.03,-0.43,503,130560,7680,8460.29,0.00,0.15,42.99,
2023/06/22 17:50:37,980.40,8.81,66.56,66.75,3.77,4687.50, 6.01,-0.21,420,105984,6547,7317.50,0.00,0.11,42.93,
2023/06/22 17:50:43,980.35,8.93,66.35,66.50,3.77,4265.63, 5.80,-0.43,416,104960,6549,7275.11,0.00,0.11,42.87,
2023/06/22 17:50:49,980.07,9.09,66.05,66.25,3.77,4203.13, 5.80,-0.43,417,105472,6536,7286.17,0.00,0.11,42.81,
2023/06/22 17:50:55,979.84,9.14,65.93,66.00,3.77,4171.88, 5.84,-0.21,421,106240,6550,7334.09,0.00,0.11,42.75,
2023/06/22 17:51:01,979.78,9.21,65.81,66.00,3.77,4187.50, 6.25,0.00,423,106496,6566,7359.90,0.00,0.11,42.70,
2023/06/22 17:51:07,979.75,9.32,65.62,65.75,3.77,4187.50, 5.80,-0.21,425,106496,6575,7393.08,0.00,0.11,42.65,
2023/06/22 17:51:13,979.67,9.38,65.50,65.50,3.77,4234.38, 5.80,-0.65,431,107776,6656,7499.98,0.00,0.11,42.60,
2023/06/22 17:51:19,979.49,9.43,65.38,65.50,3.77,4375.00, 6.08,-0.65,446,112128,6804,7702.73,0.00,0.12,42.56,
2023/06/22 17:51:25,979.60,9.49,65.28,65.50,3.77,4609.38, 5.80,0.00,468,118272,7093,8038.19,0.00,0.13,42.52,
2023/06/22 17:51:31,979.61,9.51,65.22,65.25,3.77,5062.50, 5.80,-0.22,498,126976,7496,8456.60,0.00,0.15,42.47,
2023/06/22 17:51:37,979.66,9.50,65.23,65.25,3.77,5843.75, 5.56,-0.64,573,149504,8302,9370.83,0.00,0.19,42.48,
2023/06/22 17:51:43,980.24,9.36,65.45,65.75,3.77,8046.88, 5.56,-0.21,727,195840,9736,11055.51,0.00,0.29,42.50,
2023/06/22 17:51:49,980.82,9.15,65.78,66.25,3.77,10421.88, 5.76,-0.21,864,237056,10719,12312.58,0.00,0.37,42.56,
2023/06/22 17:51:55,981.45,8.91,66.20,66.75,3.77,12031.25, 5.73,-0.21,927,256256,10943,12771.53,0.00,0.41,42.63,
2023/06/22 17:52:01,982.17,8.75,66.47,67.00,3.77,12468.75, 5.73,-0.21,934,257536,10961,12815.77,0.00,0.42,42.71,
