Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/20 20:49:21,986.88,13.55,46.78,46.50,4.28,1375.00,5.54,0.89,-69,-25088,3892,0.00,45.13,65.75,35.03,
2024/10/20 20:49:23,986.77,13.56,46.76,46.50,4.28,1375.00,6.37,0.62,-69,-25088,3892,0.00,45.13,65.75,35.03,
2024/10/20 20:49:40,986.43,13.91,46.32,46.25,4.28,1328.13,6.96,-0.09,0,0,3278,0.00,34.38,52.13,34.56,
2024/10/20 20:49:56,985.95,14.26,45.90,46.00,4.28,1343.75,6.26,0.18,0,0,3303,0.00,34.75,52.88,34.41,
2024/10/20 20:50:12,985.56,14.58,45.53,45.50,4.29,1359.38,6.12,0.18,0,0,3348,0.00,35.50,53.88,34.27,
2024/10/20 20:50:28,985.12,14.91,45.18,45.25,4.29,1390.63,6.30,0.54,0,0,3424,0.00,37.00,55.50,34.14,
2024/10/20 20:50:44,984.62,15.13,44.86,45.00,4.29,1421.88,6.03,0.98,-69,-25088,3493,0.00,38.00,56.88,34.02,
2024/10/20 20:51:00,984.31,15.37,44.55,44.50,4.29,1453.13,5.39,0.36,-69,-25088,3583,0.00,39.63,59.00,33.90,
2024/10/20 20:51:16,983.93,15.61,44.27,44.25,4.29,1531.25,6.43,0.27,0,0,3713,0.00,41.75,61.88,33.80,
2024/10/20 20:51:32,983.58,15.84,44.00,44.00,4.29,1593.75,5.78,0.54,0,0,3895,0.00,44.75,66.13,33.69,
2024/10/20 20:51:48,983.48,16.03,43.78,43.75,4.29,1906.25,6.05,0.44,0,0,4752,0.00,62.38,87.88,33.61,
