Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV]
2023/03/14 18:06:09,995.03,17.76,20.88,20.50,2.79,156.25
2023/03/14 18:06:13,995.07,16.52,20.85,20.50,2.79,156.25
2023/03/14 18:06:18,995.07,16.31,20.87,20.50,2.79,156.25
2023/03/14 18:06:23,995.04,15.66,20.90,20.50,2.79,156.25
2023/03/14 18:06:28,995.03,15.46,20.92,20.50,2.79,156.25
2023/03/14 18:06:33,995.08,15.32,20.95,20.75,2.79,156.25
2023/03/14 18:06:38,995.03,15.03,20.97,20.75,2.79,156.25
2023/03/14 18:06:43,995.01,14.87,20.98,20.75,2.79,156.25
2023/03/14 18:06:48,994.97,14.78,21.01,20.75,2.79,156.25
2023/03/14 18:06:53,994.96,14.83,21.03,20.75,2.79,156.25
2023/03/14 18:06:58,995.04,14.79,21.05,20.75,2.79,156.25
