Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Kipp and Zonen Voltage [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u, IR_M_u, PyroT_u [C], 
2023/06/22 18:55:02,982.27,3.64,80.24,80.50,3.79,3703.13, 6.03,0.00,388,98560,6311,6900.94,0.07,0.16,48.35,
2023/06/22 18:55:06,981.91,3.72,80.01,80.25,3.79,3687.50, 6.03,-0.22,389,98560,6299,6841.96,0.07,0.15,48.26,
2023/06/22 18:55:12,981.47,3.83,79.79,80.00,3.79,3656.25, 6.01,-0.43,387,98560,6268,6818.00,0.07,0.15,48.18,
2023/06/22 18:55:18,981.29,3.91,79.55,79.75,3.79,3640.63, 6.03,-0.21,385,97792,6247,6797.72,0.07,0.15,48.11,
2023/06/22 18:55:24,980.95,4.02,79.29,79.50,3.79,3640.63, 6.06,-0.22,386,97792,6237,6786.66,0.07,0.15,48.02,
2023/06/22 18:55:30,980.68,4.13,79.05,79.25,3.79,3625.00, 6.22,-0.21,384,97280,6214,6744.27,0.07,0.15,47.94,
2023/06/22 18:55:36,980.41,4.21,78.81,79.00,3.79,3640.63, 5.84,-0.22,383,96768,6208,6757.17,0.07,0.15,47.88,
2023/06/22 18:55:42,980.02,4.28,78.57,78.75,3.79,3640.63, 5.84,-0.22,381,96256,6216,6755.33,0.07,0.15,47.82,
2023/06/22 18:55:48,979.76,4.40,78.35,78.50,3.79,3640.63, 6.03,-0.22,384,97024,6220,6759.01,0.07,0.15,47.74,
2023/06/22 18:55:54,979.42,4.46,78.12,78.25,3.79,3640.63, 5.86,-0.22,383,97280,6243,6781.13,0.07,0.15,47.68,
2023/06/22 18:56:00,979.06,4.54,77.89,78.00,3.79,3656.25, 5.86,-0.43,385,97280,6242,6795.88,0.07,0.15,47.61,
2023/06/22 18:56:06,978.64,4.62,77.67,78.00,3.79,3687.50, 6.23,-0.22,388,98304,6259,6832.74,0.07,0.15,47.54,
2023/06/22 18:56:12,978.45,4.69,77.45,77.75,3.79,3703.13, 6.03,-0.21,389,98816,6293,6840.12,0.07,0.16,47.47,
2023/06/22 18:56:18,978.04,4.80,77.22,77.25,3.79,3734.38, 6.27,-0.22,393,100096,6341,6895.41,0.08,0.16,47.40,
2023/06/22 18:56:24,977.85,4.92,76.99,77.25,3.79,3796.88, 5.80,-0.43,397,101120,6422,6963.61,0.08,0.16,47.34,
2023/06/22 18:56:30,977.59,5.00,76.76,77.00,3.79,3875.00, 6.06,-0.43,403,102656,6473,7064.99,0.08,0.16,47.28,
2023/06/22 18:56:36,977.43,5.07,76.60,76.75,3.79,3937.50, 6.01,-0.43,409,103936,6558,7173.73,0.08,0.16,47.21,
2023/06/22 18:56:42,977.27,5.15,76.40,76.50,3.79,4031.25, 5.84,-0.22,420,107264,6673,7311.97,0.08,0.17,47.15,
2023/06/22 18:56:48,977.05,5.22,76.20,76.25,3.79,4171.88, 6.46,-0.22,433,110336,6825,7512.88,0.08,0.17,47.10,
