Lib = 0.3.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], PresOB [mBar], RH_OB [%], TempOB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2024/10/09 15:54:15,989.87,15.63,29.81,30.25,4.52,10000.00,6.20,2.30,403,107520,14562,2398.69,183.88,248.50,25.88,
2024/10/09 15:54:17,989.88,15.64,29.91,30.25,4.52,10000.00,5.77,3.17,402,107264,14575,2391.78,183.88,248.75,25.92,
2024/10/09 15:54:34,989.93,15.39,30.18,30.75,4.52,10000.00,6.84,3.20,403,107776,14610,2388.79,184.00,249.00,26.07,
2024/10/09 15:54:51,989.88,15.20,30.22,30.75,4.52,10000.00,6.15,2.00,402,107008,14574,2393.16,184.25,249.25,26.20,
2024/10/09 15:55:08,989.86,16.80,29.73,29.75,4.52,10000.00,6.59,1.63,404,107520,14585,2389.02,184.13,249.38,26.35,
2024/10/09 15:55:25,999.97,16.56,30.11,30.50,4.52,10000.00,5.60,1.45,404,108288,14571,2392.47,184.38,249.50,26.48,
2024/10/09 15:55:42,1000.55,16.63,30.48,31.00,4.51,10000.00,17.35,7.05,430,120832,15695,2487.17,213.38,299.13,26.55,
2024/10/09 15:55:59,1001.26,16.83,30.92,31.50,4.51,10000.00,21.90,-19.03,376,106496,14528,2360.68,215.88,257.25,26.80,
2024/10/09 15:56:16,1001.84,16.85,31.34,32.00,4.51,10000.00,6.70,-1.10,390,107776,15020,2312.06,186.38,252.00,26.95,
2024/10/09 15:56:33,1002.39,16.87,31.74,32.50,4.50,10000.00,6.37,0.00,410,114944,17167,9156.10,219.13,294.00,27.15,
2024/10/09 15:56:50,1002.79,16.73,32.19,32.75,4.50,10000.00,6.87,0.84,392,107776,15054,2431.18,204.00,54.75,27.29,
2024/10/09 15:57:07,1003.42,16.71,32.60,33.25,4.50,10000.00,7.93,-1.29,421,115712,17107,9222.45,214.88,282.25,27.50,
2024/10/09 15:57:24,1003.67,16.74,32.98,33.50,4.50,10000.00,8.41,-0.82,411,114688,14723,2398.00,181.63,282.75,27.67,
2024/10/09 15:57:41,1004.07,16.67,33.41,34.00,4.50,10000.00,7.40,0.00,413,112896,14259,2396.16,208.88,273.63,27.84,
2024/10/09 15:57:58,1004.32,16.48,33.79,34.50,4.50,10000.00,13.64,-3.21,412,112640,16738,9151.49,207.50,271.63,27.99,
2024/10/09 15:58:15,1004.71,16.37,34.14,34.75,4.50,10000.00,8.62,-1.71,425,114176,15171,2476.57,199.13,266.75,28.12,
2024/10/09 15:58:32,1004.81,16.27,34.46,35.00,4.50,10000.00,7.29,-1.28,425,114176,15167,2471.73,199.13,267.25,28.24,
2024/10/09 15:58:49,1004.84,16.22,34.81,35.50,4.50,10000.00,8.22,-0.28,425,114432,15182,2471.96,199.50,267.50,28.35,
2024/10/09 15:59:06,1005.07,16.09,35.12,35.75,4.50,10000.00,7.22,-1.47,421,113664,15286,2516.89,200.75,268.38,28.45,
2024/10/09 15:59:23,1005.11,15.94,35.42,36.00,4.50,10000.00,8.13,-0.45,428,115200,15188,2474.04,199.88,268.25,28.54,
2024/10/09 15:59:40,1005.23,15.89,35.72,36.50,4.50,10000.00,7.21,-0.63,429,114944,15200,2465.74,200.38,269.13,28.63,
2024/10/09 15:59:57,1005.28,15.74,36.01,36.50,4.50,10000.00,8.59,-1.02,429,115200,16694,9264.84,200.38,269.25,28.71,
2024/10/09 16:00:14,1005.52,15.69,36.30,36.75,4.50,10000.00,7.87,-0.55,432,116224,15265,2482.33,200.63,269.38,28.77,
2024/10/09 16:00:31,1005.44,15.62,36.57,37.25,4.50,10000.00,7.87,0.00,432,115712,15294,2485.79,201.13,270.00,28.84,
2024/10/09 16:00:48,1005.23,15.44,36.87,37.50,4.50,10000.00,7.84,-1.86,434,116480,16697,9221.53,201.63,270.50,28.92,
2024/10/09 16:01:05,1005.05,15.32,37.17,37.75,4.50,10000.00,8.20,-1.36,435,116992,16758,9290.65,202.50,271.25,28.97,
2024/10/09 16:01:22,1005.02,15.15,37.41,38.00,4.50,10000.00,8.16,-1.76,437,117504,16733,9285.12,202.63,271.75,29.02,
2024/10/09 16:01:39,1004.72,15.03,37.69,38.25,4.50,10000.00,8.00,-2.10,435,116736,16736,9236.28,202.50,271.88,29.05,
2024/10/09 16:01:56,1004.97,15.03,37.86,38.50,4.49,10000.00,8.13,-0.64,436,117248,16787,9239.96,202.88,272.25,29.07,
2024/10/09 16:02:13,1005.03,14.87,38.11,38.50,4.49,10000.00,8.15,-0.65,437,117760,16789,9268.53,203.25,273.00,29.10,
2024/10/09 16:02:30,1004.78,14.85,38.35,39.00,4.49,10000.00,8.08,-1.55,440,118016,16804,9286.04,203.50,273.25,29.13,
2024/10/09 16:02:47,1004.54,14.73,38.60,39.00,4.50,10000.00,8.17,-0.82,438,118016,16773,9245.49,203.38,272.75,29.16,
2024/10/09 16:03:04,1004.63,14.57,38.81,39.25,4.50,10000.00,8.31,-0.99,438,117504,16805,9284.20,203.75,273.38,29.19,
2024/10/09 16:03:21,1004.48,14.53,38.95,39.50,4.49,10000.00,8.83,-1.19,440,118272,15262,2441.55,204.13,273.75,29.22,
2024/10/09 16:03:38,1004.22,14.40,39.16,39.75,4.49,10000.00,7.94,-1.54,441,118528,16819,9239.04,204.25,274.13,29.25,
2024/10/09 16:03:55,1004.11,14.38,39.26,39.75,4.49,10000.00,8.85,-1.18,440,118272,16855,9271.30,204.75,274.75,29.28,
2024/10/09 16:04:12,1004.15,14.36,39.45,40.00,4.49,10000.00,7.99,-0.55,442,119040,16878,9247.33,205.00,275.13,29.31,
2024/10/09 16:04:29,1004.23,14.29,39.63,40.00,4.49,10000.00,8.89,-1.47,442,118272,16904,9254.71,205.38,275.38,29.33,
2024/10/09 16:04:46,1004.11,14.25,39.77,40.25,4.49,10000.00,8.11,-0.55,444,119040,16916,9254.71,205.63,275.88,29.36,
2024/10/09 16:05:03,1003.86,14.17,40.00,40.25,4.49,10000.00,7.00,-0.82,444,119552,16902,9277.75,205.88,275.88,29.40,
2024/10/09 16:05:20,1003.78,14.07,40.19,40.75,4.49,10000.00,7.69,-0.82,443,118784,16929,9294.34,206.13,276.50,29.44,
2024/10/09 16:05:37,1003.74,14.02,40.30,40.75,4.49,10000.00,8.51,-0.55,446,119808,16948,9288.81,206.50,277.00,29.47,
2024/10/09 16:05:54,1003.42,13.97,40.44,41.00,4.49,10000.00,7.74,-0.46,445,119296,16961,9296.18,206.50,276.75,29.49,
2024/10/09 16:06:11,1003.35,13.94,40.59,41.00,4.49,10000.00,8.07,-1.63,445,119552,16954,9293.41,206.50,277.13,29.52,
2024/10/09 16:06:28,1003.26,13.96,40.63,41.00,4.49,10000.00,8.49,-1.02,446,119808,16966,9333.96,206.38,277.13,29.54,
2024/10/09 16:06:45,1003.23,13.89,40.81,41.25,4.49,10000.00,8.07,-0.27,446,119552,16998,9310.92,206.75,277.38,29.58,
